section_name,firstname,pub_date,gender
Fashion & Style,Eric,2011-10-01,M
Sports,Andrew,2011-10-01,M
Sports,Andrew,2011-10-01,M
U.S.,Sarah,2011-10-01,F
U.S.,Sarah,2011-10-01,F
Sports,Pete,2011-10-01,F
Sports,Pete,2011-10-01,F
U.S.,Micah,2011-10-01,F
U.S.,Micah,2011-10-01,F
U.S.,Mark,2011-10-01,M
U.S.,Mark,2011-10-01,M
U.S.,Emmarie,2011-10-01,F
U.S.,Emmarie,2011-10-01,F
Sports,Benjamin,2011-10-01,M
Sports,Benjamin,2011-10-01,M
Style,Eric,2011-10-01,M
Style,Eric,2011-10-01,M
Sports,Ben,2011-10-01,M
Sports,Ben,2011-10-01,M
Opinion,Nicholas,2011-10-01,M
Opinion,Nicholas,2011-10-01,M
Crosswords/Games,Deb,2011-10-01,M
Crosswords/Games,Deb,2011-10-01,M
Sports,David,2011-10-01,M
Sports,David,2011-10-01,M
U.S.,Rich,2011-10-01,M
U.S.,Rich,2011-10-01,M
Health,Tara,2011-10-01,F
Health,Tara,2011-10-01,F
N.Y. / Region,Al,2011-10-01,M
N.Y. / Region,Al,2011-10-01,M
T:Style,Greg,2011-10-01,M
T:Style,Greg,2011-10-01,M
Sports,Jeff,2011-10-01,M
Sports,Jeff,2011-10-01,M
Sports,Andrew,2011-10-01,M
Sports,Andrew,2011-10-01,M
T:Style,Jane,2011-10-01,F
T:Style,Jane,2011-10-01,F
Sports,Greg,2011-10-01,M
Arts,Ben,2011-10-01,M
Arts,Ben,2011-10-01,M
N.Y. / Region,Colin,2011-10-01,M
N.Y. / Region,Colin,2011-10-01,M
Sports,Pat,2011-10-01,M
Sports,Pat,2011-10-01,M
Sports,Benjamin,2011-10-01,M
Sports,Benjamin,2011-10-01,M
T:Style,Kava,2011-10-01,F
T:Style,Kava,2011-10-01,F
T:Style,Schohaja,2011-10-01,F
T:Style,Sonny,2011-10-01,F
T:Style,Sonny,2011-10-01,F
Style,Eric,2011-10-01,M
Style,Eric,2011-10-01,M
T:Style,Stephen,2011-10-01,M
T:Style,Stephen,2011-10-01,M
Crosswords/Games,Deb,2011-10-01,M
Crosswords/Games,Deb,2011-10-01,M
Sports,Greg,2011-10-01,M
T:Style,Alison,2011-10-01,M
T:Style,Alison,2011-10-01,M
Sports,Mike,2011-10-01,F
Sports,Mike,2011-10-01,F
Sports,Ben,2011-10-01,M
Sports,Ben,2011-10-01,M
Sports,Keyvan,2011-10-01,M
Sports,Keyvan,2011-10-01,M
N.Y. / Region,Ava,2011-10-01,F
N.Y. / Region,Ava,2011-10-01,F
T:Style,Schohaja,2011-10-01,F
T:Style,Io,2011-10-01,M
T:Style,Io,2011-10-01,M
T:Style,Stephen,2011-10-01,M
T:Style,Stephen,2011-10-01,M
Technology,Nick,2011-10-01,M
Technology,Nick,2011-10-01,M
T:Style,Andreas,2011-10-01,M
T:Style,Andreas,2011-10-01,M
Business Day,Robb,2011-10-01,M
Business Day,Robb,2011-10-01,M
U.S.,Emmarie,2011-10-01,F
U.S.,Emmarie,2011-10-01,F
Sports,Sam,2011-10-01,M
Sports,Sam,2011-10-01,M
World,Shivani,2011-10-01,F
World,Shivani,2011-10-01,F
Science,Sean,2011-10-01,M
Science,Justin,2011-10-01,M
N.Y. / Region,Nick,2011-10-01,M
Business Day,Michelle,2011-10-01,F
World,Michael,2011-10-01,M
World,Victor,2011-10-01,M
World,Ravi,2011-10-01,F
World,Scott,2011-10-01,M
Sports,Joe,2011-10-01,F
Science,Richard,2011-10-01,M
World,Neil,2011-10-01,M
Sports,Pat,2011-10-01,M
U.S.,Sandra,2011-10-01,F
Education,Sam,2011-10-01,M
