section_name,firstname,pub_date,gender
Books,Maria,2016-07-01,F
Science,Ian,2016-07-01,M
Opinion,Ian,2016-07-01,M
N.Y. / Region,Marc,2016-07-01,M
Sports,Christopher,2016-07-01,M
U.S.,Les,2016-07-01,M
Business Day,Michael,2016-07-01,M
Crosswords & Games,Deb,2016-07-01,F
U.S.,Ron,2016-07-01,M
Business Day,Robert,2016-07-01,M
Arts,Zachary,2016-07-01,M
Theater,Margaret,2016-07-01,F
Arts,Siobhan,2016-07-01,F
Fashion & Style,Katherine,2016-07-01,F
Business Day,Reed,2016-07-01,M
Arts,Brian,2016-07-01,M
World,Dan,2016-07-01,M
Real Estate,Kaya,2016-07-01,F
Opinion,Samuel,2016-07-01,M
Theater,Anita,2016-07-01,F
Sports,Sam,2016-07-01,M
Movies,Wesley,2016-07-01,M
World,Jeffrey,2016-07-01,M
Sports,Christopher,2016-07-01,M
Fashion & Style,Karen,2016-07-01,F
Arts,Robin,2016-07-01,F
Business Day,Anjali,2016-07-01,F
U.S.,Adam,2016-07-01,M
U.S.,Fernanda,2016-07-01,F
Business Day,Michael,2016-07-01,M
Business Day,Gretchen,2016-07-01,F
Your Money,David,2016-07-01,M
NYT Now,Karen,2016-07-01,F
Fashion & Style,Ruth,2016-07-01,F
World,Julfikar,2016-07-01,U
World,Charlie,2016-07-01,M
Food,Jeff,2016-07-01,M
Movies,Robert,2016-07-01,M
Books,Alexandra,2016-07-01,F
Opinion,Elizabeth,2016-07-01,F
Real Estate,Tim,2016-07-01,M
Movies,Anita,2016-07-01,F
Business Day,Peter,2016-07-01,M
Opinion,Richard,2016-07-01,M
Real Estate,Vivian,2016-07-01,F
Food,Melissa,2016-07-01,F
Times Insider,Jordan,2016-07-01,M
Sports,Scott,2016-07-01,M
Sports,Naila-jean,2016-07-01,U
World,Diaa,2016-07-01,U
Books,Christopher,2016-07-01,M
Arts,Michael,2016-07-01,M
Books,Stephanie,2016-07-01,F
Books,Inga,2016-07-01,F
Books,Lyle,2016-07-01,M
Books,Katie,2016-07-01,F
Books,Karen,2016-07-01,F
Books,Fiammetta,2016-07-01,U
Books,Lawrence,2016-07-01,M
